Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
5453250000.0,965369000.0,,,733350000.0,2262880000.0,1529530000.0,1519490000.0,JPSA3
20373500000.0,9476440000.0,,,6341020000.0,14632100000.0,8291060000.0,1290550000.0,JSLG3
671015000.0,318769000.0,,,57845000.0,46571000.0,-11274000.0,456590000.0,KEPL3
34703100000.0,13673900000.0,,,9730910000.0,24085300000.0,14354400000.0,6046880000.0,KLBN11
34703100000.0,13673900000.0,,,9730910000.0,24085300000.0,14354400000.0,6046880000.0,KLBN3
34703100000.0,13673900000.0,,,9730910000.0,24085300000.0,14354400000.0,6046880000.0,KLBN4
33269000000.0,18908700000.0,,,10606500000.0,17828400000.0,7221870000.0,5167630000.0,LAME3
33269000000.0,18908700000.0,,,10606500000.0,17828400000.0,7221870000.0,5167630000.0,LAME4
9309030000.0,2146740000.0,,,893776000.0,4537570000.0,3643790000.0,2712690000.0,LCAM3
2401060000.0,1210960000.0,,,204587000.0,412584000.0,207997000.0,1320440000.0,LEVE3
24735500000.0,5618530000.0,,,2052270000.0,9266090000.0,7213820000.0,6910670000.0,LIGT3
2586880000.0,1357200000.0,,,1074540000.0,333012000.0,-741526000.0,1825340000.0,LINX3
221427000.0,84490000.0,,,82104000.0,0.0,-82104000.0,171511000.0,LIPR3
1488640000.0,270176000.0,,,64776000.0,492241000.0,427465000.0,-12449000.0,LIQO3
4355340000.0,1086930000.0,,,343643000.0,1747600000.0,1403960000.0,2202920000.0,LLIS3
3988730000.0,872038000.0,,,507388000.0,889805000.0,382417000.0,2938960000.0,LOGG3
1274940000.0,337428000.0,,,91339000.0,1286680000.0,1195350000.0,-330625000.0,LOGN3
255037000.0,56162000.0,,,19794000.0,12117000.0,-7677000.0,41738000.0,LPSB3
11791700000.0,6656210000.0,,,1372300000.0,1645030000.0,272727000.0,4704610000.0,LREN3
498233000.0,199415000.0,,,13597000.0,160988000.0,147391000.0,84636000.0,LUPA3
192643000.0,18734000.0,,,6951000.0,32975000.0,26024000.0,115330000.0,LUXM4
509384000.0,175897000.0,,,28543000.0,198350000.0,169807000.0,83366000.0,LWSA3
773000.0,0.0,,,0.0,0.0,0.0,-5552000.0,MAPT4
8008580000.0,2371060000.0,,,661264000.0,1160730000.0,499464000.0,5805250000.0,MDIA3
1864850000.0,925432000.0,,,29106000.0,1155480000.0,1126370000.0,115085000.0,MDNE3
2149730000.0,572634000.0,,,367203000.0,517952000.0,150749000.0,954646000.0,MEAL3
954778000.0,6384000.0,,,6000.0,9288450000.0,9288440000.0,-10872100000.0,MEND5
954778000.0,6384000.0,,,6000.0,9288450000.0,9288440000.0,-10872100000.0,MEND6
410219000.0,,238594000.0,115651000.0,,,,243892000.0,MERC4
378201000.0,222553000.0,,,51656000.0,671749000.0,620093000.0,-381306000.0,MGEL4
19791100000.0,12841200000.0,,,4753900000.0,848829000.0,-3905080000.0,7564940000.0,MGLU3
1380830000.0,269371000.0,,,109800000.0,152788000.0,42988000.0,1111300000.0,MILS3
132462000.0,32751000.0,,,1572000.0,190796000.0,189224000.0,-719319000.0,MMXM3
1024330000.0,249024000.0,,,2327000.0,184682000.0,182355000.0,-142268000.0,MNDL3
201116000.0,59434000.0,,,1024000.0,500000.0,-524000.0,-354128000.0,MNPR3
1456440000.0,361819000.0,,,340899000.0,154370000.0,-186529000.0,1060840000.0,MOAR3
7511570000.0,2635890000.0,,,1629170000.0,3341050000.0,1711880000.0,2247810000.0,MOVI3
31572000000.0,14420100000.0,,,8410110000.0,22240100000.0,13830000000.0,618565000.0,MRFG3
14686300000.0,7801150000.0,,,674919000.0,3202160000.0,2527240000.0,4841770000.0,MRVE3
105323000.0,49732100.0,,,772252.0,52079100.0,51306800.0,15993400.0,MTIG4
